127.0.0.1 - - [10/Mar/2020:13:37:56 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:41 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP44 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:41 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP45 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:41 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP47 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:42 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP48 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:45 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP50 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:19:45 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F4CUP49 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:55:33 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 124951
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:56:06 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 23081
0:0:0:0:0:0:0:1 - - [10/Mar/2020:15:57:23 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 124951
0:0:0:0:0:0:0:1 - - [10/Mar/2020:16:00:13 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [10/Mar/2020:16:00:56 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 125469
0:0:0:0:0:0:0:1 - - [10/Mar/2020:16:02:04 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 83186
0:0:0:0:0:0:0:1 - - [10/Mar/2020:16:05:01 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [10/Mar/2020:16:05:35 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 125355
0:0:0:0:0:0:0:1 - - [10/Mar/2020:16:06:27 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 69461
0:0:0:0:0:0:0:1 - - [10/Mar/2020:16:06:55 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 42912
0:0:0:0:0:0:0:1 - - [10/Mar/2020:16:14:19 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 125355
0:0:0:0:0:0:0:1 - - [10/Mar/2020:16:14:45 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 69461
